"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus"
"4333","32","text","0","4335","0.0-0.0","10432","",""
"914","32","text","1","6252","0.0-1.0","10432","",""
"6700","","survey-text","2","13960","0.0-2.0","10432","{""Q0"":""21"",""Q1"":""MALE""}",""
"1496","32","text","3","16460","0.0-3.0","10432","",""
"5814","","survey-text","4","23281","0.0-4.0","10432","{""Q0"":""Trumpet""}",""
"770","32","text","5","25053","0.0-5.0","10432","",""
"1703","50","single-stim","6","27765","0.0-6.0-0.0","10432","","notepairs/zdump/test1.svg"
"337","50","single-stim","7","29109","0.0-6.0-2.0","10432","","notepairs/zdump/test3.svg"
"342","50","single-stim","8","30461","0.0-6.0-1.0","10432","","notepairs/zdump/test2.svg"
"773","32","text","9","32236","0.0-7.0","10432","",""
"3220","53","single-stim","10","36461","0.0-8.0-2.0","10432","","experiment_files/block_25/A5Gs4.svg"
"963","49","single-stim","11","38430","0.0-8.0-1.0","10432","","experiment_files/block_25/A4As4.svg"
"4027","49","single-stim","12","43462","0.0-8.0-6.0","10432","","experiment_files/block_25/Am5Gs5.svg"
"6705","50","single-stim","13","51174","0.0-8.0-14.0","10432","","experiment_files/block_25/As4Em4.svg"
"860","49","single-stim","14","53038","0.0-8.0-16.0","10432","","experiment_files/block_25/As4G4.svg"
"10752","55","single-stim","15","64799","0.0-8.0-3.0","10432","","experiment_files/block_25/Am3As5.svg"
"1896","55","single-stim","16","67702","0.0-8.0-21.0","10432","","experiment_files/block_25/B5Cs4.svg"
"1671","55","single-stim","17","70383","0.0-8.0-7.0","10432","","experiment_files/block_25/As3As5.svg"
"6355","51","single-stim","18","77743","0.0-8.0-13.0","10432","","experiment_files/block_25/As4Cs4.svg"
"6825","48","single-stim","19","85575","0.0-8.0-23.0","10432","","experiment_files/block_25/B5Gs3.svg"
"7181","54","single-stim","20","93760","0.0-8.0-27.0","10432","","experiment_files/block_25/Bm3Gs5.svg"
"1428","49","single-stim","21","96192","0.0-8.0-18.0","10432","","experiment_files/block_25/As5F5.svg"
"5037","52","single-stim","22","102232","0.0-8.0-25.0","10432","","experiment_files/block_25/Bm3Cs5.svg"
"3855","52","single-stim","23","107096","0.0-8.0-5.0","10432","","experiment_files/block_25/Am4Gs5.svg"
"5963","53","single-stim","24","114064","0.0-8.0-17.0","10432","","experiment_files/block_25/As5Dm5.svg"
"2489","51","single-stim","25","117560","0.0-8.0-0.0","10432","","experiment_files/block_25/A3Gs4.svg"
"3675","51","single-stim","26","122241","0.0-8.0-19.0","10432","","experiment_files/block_25/B4Cs4.svg"
"5772","54","single-stim","27","129017","0.0-8.0-9.0","10432","","experiment_files/block_25/As3Dm5.svg"
"4304","54","single-stim","28","134329","0.0-8.0-12.0","10432","","experiment_files/block_25/As3Gs5.svg"
"7072","53","single-stim","29","142410","0.0-8.0-15.0","10432","","experiment_files/block_25/As4G3.svg"
"10146","51","single-stim","30","153562","0.0-8.0-26.0","10432","","experiment_files/block_25/Bm3Fs4.svg"
"9147","51","single-stim","31","163714","0.0-8.0-10.0","10432","","experiment_files/block_25/As3Ds4.svg"
"2319","49","single-stim","32","167042","0.0-8.0-28.0","10432","","experiment_files/block_25/Bm4As4.svg"
"8530","55","single-stim","33","176579","0.0-8.0-11.0","10432","","experiment_files/block_25/As3F5.svg"
"2239","49","single-stim","34","179827","0.0-8.0-24.0","10432","","experiment_files/block_25/Bm3As3.svg"
"14114","54","single-stim","35","194947","0.0-8.0-8.0","10432","","experiment_files/block_25/As3C5.svg"
"3295","54","single-stim","36","199251","0.0-8.0-4.0","10432","","experiment_files/block_25/Am3Cs5.svg"
"3963","55","single-stim","37","204220","0.0-8.0-22.0","10432","","experiment_files/block_25/B5Fs4.svg"
"2562","49","single-stim","38","207788","0.0-8.0-20.0","10432","","experiment_files/block_25/B4Gs4.svg"
"1438","32","text","39","210228","0.0-9.0","10432","",""
