9	-M2 -M2 +M2 +m2
9	+M2 +m2 +M3 +m3
9	-M2 +M2 +M2 +M2
9	+M2 -M2 +M2 -M2
9	+m7 -m2 -M2 +M2
9	-m2 +M2 +M2 +m2
8	+m2 +M3 -M2 -M2
8	-m3 -M2 -M2 +M2
8	+M2 -m2 -M2 -M2
8	+M3 +m3 -M2 +M3
8	-m2 -M2 -M2 +m3
8	+m3 -m2 +m2 +M2
8	-M2 +M2 +m3 -m2
8	+M2 +M2 +M2 +M2
8	+M2 +M2 +m3 -m2
8	-m3 -M3 +M6 -M2
8	-m3 -M3 +M3 +m3
8	+M3 +m3 +M2 +M2
8	-M2 -M2 +M2 -m3
8	-M2 +M2 -M2 -m3
8	-M2 +M3 +m3 +M2
8	+M2 -M3 -m3 +M2
8	+M2 +m2 -m3 -M2
8	-M2 +M2 -M3 -m3
8	-m2 -M3 +M2 +M2
8	+M2 -M2 -m2 -M3
8	+m3 +M2 -M2 -m3
8	+m3 -m2 -M2 -m2
8	-m3 +m3 +M3 -M2
8	-m3 +M2 +m2 -m2
8	-m2 -M2 -m2 +m3
8	+M2 -M3 +M2 -m3
8	+m3 -M2 +M3 +m3
7	-m2 +m2 -m2 +m2
7	-M3 +M6 -M2 -M2
7	-M3 -m3 -m2 +m2
7	-m2 +m2 -m3 -m3
7	-M2 -m2 -M3 +M2
7	-m3 -M2 -m2 -M2
7	+M2 +m7 -m2 -M2
7	-m2 -M2 -m2 -M2
7	-m3 -M2 +M2 -M2
7	-M2 -m3 +m2 -m3
7	+M2 +m2 +M2 +m3
7	-M2 +M2 -M3 +M3
7	+M2 -M2 -m3 +m2
7	-M2 -m2 -M2 -M3
7	+m2 -M3 -m3 +M2
7	+m2 +M2 -M2 -M2
7	+m2 +M2 +m2 -m3
7	-M2 +M2 -m3 +m2
7	-m2 -M2 +M2 +M2
7	-m2 -M2 +m3 +M2
7	+M3 +m2 +M2 +M2
7	-M2 -M2 -m2 +m6
7	-M3 +M3 -M2 -M2
7	-m2 +m2 +m3 +M3
7	-m2 -M2 -m3 +m2
7	-M2 -m2 +m2 +M3
7	+M2 -M6 +M2 +M2
7	+m2 +M2 +M2 -M6
7	-m3 +M2 +m2 -m3
7	+M2 +M2 -M6 +M2
7	+M2 -M3 -m2 -M2
7	+m3 +M2 +M2 -M2
7	+M2 -M2 -M2 -M2
7	+m2 +M2 -m2 -M2
7	-m3 -m2 +m2 +M2
7	-M2 +M3 +m3 -m3
7	-m3 -M2 +M2 +m2
6	+M2 +m2 +M3 -M3
6	-M6 +M2 +M2 +m2
6	-M2 +M2 -M3 -m2
6	+m2 +M3 +m3 +M2
6	+m2 -M3 -m2 -M2
6	-m2 -M2 -m2 -M3
6	-M2 -m3 -m3 +m2
6	+M2 +m2 -M2 -M2
6	-m3 -M3 +M2 -M2
6	+m7 -m2 -M2 -M2
6	-M3 +m2 -m2 -M2
6	-M2 -m2 +m2 -M2
6	-M2 -m3 -M2 +M2
6	+m3 +M2 -M2 -M2
6	-M2 -M2 -m3 -M2
6	-M2 -M2 -m3 +m2
6	-M2 +M3 +m2 +M2
6	-M3 +M2 -M2 -M2
6	-m2 +m2 +m3 -m2
6	-m2 +m2 +M2 +m3
6	-M2 -M2 -m2 +M2
6	+m2 +M2 -m3 -M2
6	+m2 +M6 -M2 -M2
6	-m3 +m3 -m2 -M2
6	-m3 -M3 -m2 -M2
6	-M2 -M2 -m3 +m3
6	+M2 +m2 -m2 +M2
6	+M2 -M3 +M2 -M2
6	+M2 +m2 +M3 -M2
6	+M2 +m3 -m2 -M3
6	+m2 -m3 +M2 -M2
6	+M3 +m2 -m2 -M2
6	+M2 -M3 -m3 -M2
6	+M2 -M3 -m3 -m3
6	-M2 -m2 +m2 +m2
6	-m2 +m2 -m3 -M2
6	+m3 -M2 -m3 +M2
6	+M2 +m2 -m3 -M3
6	+M2 +m3 +M3 -M2
6	+M2 +m3 +M2 -M2
6	-M2 -m2 -M3 -m3
6	+m2 +M3 +m3 -m3
6	-m3 -M2 +M3 +m3
6	-M3 -m3 +m6 -m2
6	+m2 -m3 +m3 -m2
6	-m3 +m2 -m2 +m2
6	+M3 +m3 -m2 +m2
6	-M2 -m3 +m2 -m2
6	-M3 +M2 -M2 -m2
6	-M3 +M2 -m3 +m2
6	-m2 -M2 -m3 -M3
6	-M2 -m2 +M2 +M2
5	-M2 +m3 -m3 -M2
5	-M3 -m3 -M3 -m3
5	+M3 -M2 +M2 +m2
5	-m3 +m2 +M2 -M2
5	-M2 -M2 +M2 +m7
5	-M2 -m3 -M2 -m2
5	+m2 +M2 +m3 -M2
5	-M2 -M2 -M2 -M2
5	-m2 +m2 -m3 +M2
5	-m2 +m3 +M3 -M2
5	+M2 -M3 +M3 +m3
5	-M3 -m3 -M2 +M2
5	-M2 -m2 -M2 +m6
5	-m2 +m2 -m3 -M3
5	+m2 +M2 +m3 -m2
5	+M2 +m6 -m2 -M2
5	-M3 -m3 +m3 +M3
5	+M3 +m3 +M3 +m3
5	+m6 -m2 -M2 +M2
5	+m3 -m3 -M3 +M3
5	-M2 +m3 +M2 +M2
5	+M2 -M2 +M3 +m3
5	+m3 +M3 -M3 -m3
5	-m3 -M2 +M2 +M2
5	+m2 -m3 -M2 -m2
5	-m3 +m2 -m3 +M2
5	-m2 -M2 +M3 +m2
5	+M2 +M2 +m2 -m6
5	-M2 -m2 -M2 -m3
5	-m2 -M2 +m6 -m3
5	+M3 -M2 -m3 -M3
5	-M2 +M3 -M2 +M2
5	-m2 +m2 -M3 -m3
5	-m2 +m2 -M3 -m2
5	+m2 -m3 -m3 -M3
5	+m2 +M2 +m7 -m2
5	-M2 +m6 -m2 -M2
5	-m2 +m6 -m2 -M2
5	+M2 -M3 -m2 +m2
5	-M2 -m3 +M2 -M2
5	+m2 -m3 -M3 +M6
5	+m2 +M3 -M3 -m2
5	+m2 -m3 -M2 -M2
5	-M2 -m2 -M2 +M3
5	-M3 -m3 -m3 -M3
5	-m2 +m2 -M2 -m2
5	-M3 -M2 -m2 -M2
5	-m3 +M2 +M2 +m2
5	-m3 +m3 -M2 -m2
