Predictors,Estimates,CI,p
(Intercept),-0.9,-1.44 – -0.37,0.001
tonalness,0.9,0.27 – 1.53,0.006
note.dens,0.36,0.17 – 0.55,<0.001
tonalness:note.dens,-0.21,-0.43 – 0.01,0.059
Observations,156,,
Marginal R2,0.467,,
Conditional R2,0.682,,
