Predictors,Estimates,CI,p
(Intercept),-0.41,-0.54 – -0.27,<0.001
i.entropy,1.34,1.11 – 1.56,<0.001
wmc,-0.03,-0.10 – 0.04,0.391
Observations,156,,
Marginal R2,0.384,,
Conditional R2,0.569,,
