Predictors,Estimates,CI,p
(Intercept),0.54,0.47 – 0.61,<0.001
Melody 34,-0.33,-0.40 – -0.26,<0.001
Melody 9,-0.44,-0.51 – -0.37,<0.001
Melody 95,0.01,-0.06 – 0.09,0.746
Observations,156,,
Marginal R2,0.467,,
Conditional R2,0.682,,
