subjectNo,melody,score,gf,wmc,GENERAL,MUSICAL,SINGING,gender,baisScore,auralWeeksTaken,Tonalness,NoteDensity
1013,melody9p,0,1.173251056759,-0.208688014142135,94,33,38,Female,5.286,28,LOW,LOW
1013,melody112p,0.857142857142857,1.173251056759,-0.208688014142135,94,33,38,Female,5.286,28,HIGH,HIGH
1014,melody95p,0.528409090909091,0.542646973109698,0.802202835096796,96,38,34,Male,6.643,22,LOW,HIGH
1014,melody34p,0,0.542646973109698,0.802202835096796,96,38,34,Male,6.643,22,HIGH,LOW
1014,melody9p,0.357142857142857,0.542646973109698,0.802202835096796,96,38,34,Male,6.643,22,LOW,LOW
1014,melody112p,0.392857142857143,0.542646973109698,0.802202835096796,96,38,34,Male,6.643,22,HIGH,HIGH
1015,melody95p,0.573863636363636,-0.911833747849391,-0.0828652864402359,98,36,37,Male,4.143,70,LOW,HIGH
1015,melody34p,0.175,-0.911833747849391,-0.0828652864402359,98,36,37,Male,4.143,70,HIGH,LOW
1015,melody9p,0.142857142857143,-0.911833747849391,-0.0828652864402359,98,36,37,Male,4.143,70,LOW,LOW
1015,melody112p,0.744047619047619,-0.911833747849391,-0.0828652864402359,98,36,37,Male,4.143,70,HIGH,HIGH
1016,melody95p,0.409090909090909,2.41994261449217,1.27000789456515,77,32,23,Male,4.643,57,LOW,HIGH
1016,melody34p,0,2.41994261449217,1.27000789456515,77,32,23,Male,4.643,57,HIGH,LOW
1016,melody9p,0,2.41994261449217,1.27000789456515,77,32,23,Male,4.643,57,LOW,LOW
1016,melody112p,0.30952380952381,2.41994261449217,1.27000789456515,77,32,23,Male,4.643,57,HIGH,HIGH
1017,melody95p,0.0909090909090909,-0.201496865646089,0.445164357269894,116,38,46,Female,6.071,28,LOW,HIGH
1017,melody34p,0,-0.201496865646089,0.445164357269894,116,38,46,Female,6.071,28,HIGH,LOW
1017,melody9p,0,-0.201496865646089,0.445164357269894,116,38,46,Female,6.071,28,LOW,LOW
1017,melody112p,0.232142857142857,-0.201496865646089,0.445164357269894,116,38,46,Female,6.071,28,HIGH,HIGH
1018,melody95p,0.886363636363636,2.39458196937501,0.586043231032237,88,35,30,Male,4.643,15,LOW,HIGH
1018,melody34p,0.675,2.39458196937501,0.586043231032237,88,35,30,Male,4.643,15,HIGH,LOW
1018,melody9p,0,2.39458196937501,0.586043231032237,88,35,30,Male,4.643,15,LOW,LOW
1018,melody112p,0.773809523809524,2.39458196937501,0.586043231032237,88,35,30,Male,4.643,15,HIGH,HIGH
1019,melody95p,0.926136363636364,0.796340267525962,0.586043231032237,94,35,33,Female,5.214,44,LOW,HIGH
1019,melody34p,0.525,0.796340267525962,0.586043231032237,94,35,33,Female,5.214,44,HIGH,LOW
1019,melody9p,0.226190476190476,0.796340267525962,0.586043231032237,94,35,33,Female,5.214,44,LOW,LOW
1019,melody112p,0.880952380952381,0.796340267525962,0.586043231032237,94,35,33,Female,5.214,44,HIGH,HIGH
1020,melody95p,0.806818181818182,,-0.00758455613802006,94,36,30,Female,4.857,30,LOW,HIGH
1020,melody34p,0.75,,-0.00758455613802006,94,36,30,Female,4.857,30,HIGH,LOW
1020,melody9p,0.666666666666667,,-0.00758455613802006,94,36,30,Female,4.857,30,LOW,LOW
