"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","response"
"[{""page_index"":0,""viewing_time"":3953.6000000080094},{""page_index"":1,""viewing_time"":15221.599999931641},{""page_index"":2,""viewing_time"":8406.79999999702}]","27582.59999996517","instructions","0","27586","0.0-0.0","57624","","","",""
"","3774.600000004284","survey-text","1","31362","0.0-1.0","57624","{""Q0"":""29""}","","",""
"","8957.099999999627","survey-text","2","40321","0.0-2.0","57624","{""Q0"":""completed doctorate""}","","",""
"","6439.200000022538","survey-text","3","46761","0.0-3.0","57624","{""Q0"":""1""}","","",""
"","11328.499999945052","survey-text","4","58091","0.0-4.0","57624","{""Q0"":""moveable-do""}","","",""
"","8091.399999917485","survey-text","5","66963","0.0-5.0","57624","{""Q0"":""saxophone""}","","",""
"","8167.0000000158325","survey-text","6","75131","0.0-6.0","57624","{""Q0"":""PhD Music Theory""}","","",""
"","5812.799999956042","survey-text","7","80945","0.0-7.0","57624","{""Q0"":""LSU""}","","",""
"[{""page_index"":0,""viewing_time"":6737.299999920651},{""page_index"":1,""viewing_time"":30927.000000025146},{""page_index"":2,""viewing_time"":4281.500000040978},{""page_index"":3,""viewing_time"":4425.099999993108}]","46371.29999999888","instructions","8","127317","0.0-8.0","57624","","","",""
"","50063.9000000665","image-button-response","9","177383","0.0-9.0-0.0","57624","","img/Berkowitz294.png","1",""
"","14906.499999924563","image-button-response","10","192290","0.0-9.0-1.0","57624","","img/Berkowitz294.png","5",""
"","23204.400000046007","image-slider-response","11","215497","0.0-9.0-2.0","57624","","","","54"
"","37389.39999998547","image-slider-response","12","252887","0.0-9.0-3.0","57624","","","","62"
"","15030.00000002794","image-button-response","13","267919","0.0-9.0-4.0","57624","","img/Berkowitz294.png","1",""
"","36054.499999969266","image-button-response","14","303974","0.0-9.0-0.1","57624","","img/Berkowitz622.png","4",""
"","9807.700000004843","image-button-response","15","313783","0.0-9.0-1.1","57624","","img/Berkowitz622.png","7",""
"","12936.900000087917","image-slider-response","16","326722","0.0-9.0-2.1","57624","","","","100"
"","52144.700000062585","image-slider-response","17","378867","0.0-9.0-3.1","57624","","","","26"
"","3820.4000000841916","image-button-response","18","382689","0.0-9.0-4.1","57624","","img/Berkowitz622.png","1",""
"","68206.60000003409","image-button-response","19","450898","0.0-9.0-0.2","57624","","img/Berkowitz417tx.png","1",""
"","7010.499999974854","image-button-response","20","457909","0.0-9.0-1.2","57624","","img/Berkowitz417tx.png","7",""
"","22500.800000037998","image-slider-response","21","480411","0.0-9.0-2.2","57624","","","","32"
"","45557.90000001434","image-slider-response","22","525970","0.0-9.0-3.2","57624","","","","64"
"","2031.8999999435619","image-button-response","23","528003","0.0-9.0-4.2","57624","","img/Berkowitz417tx.png","1",""
"","38547.79999994207","image-button-response","24","566552","0.0-9.0-0.3","57624","","img/Berkowitz88.png","0",""
"","9346.599999931641","image-button-response","25","575900","0.0-9.0-1.3","57624","","img/Berkowitz88.png","5",""
"","10864.300000015646","image-slider-response","26","586765","0.0-9.0-2.3","57624","","","","5"
"","13474.700000020675","image-slider-response","27","600241","0.0-9.0-3.3","57624","","","","100"
"","2017.600000021048","image-button-response","28","602260","0.0-9.0-4.3","57624","","img/Berkowitz88.png","1",""
"","10227.599999983795","image-button-response","29","612488","0.0-9.0-0.4","57624","","img/Berkowitz26.png","0",""
"","21340.8000000054","image-button-response","30","633830","0.0-9.0-1.4","57624","","img/Berkowitz26.png","3",""
"","5631.500000017695","image-slider-response","31","639462","0.0-9.0-2.4","57624","","","","0"
"","7608.600000035949","image-slider-response","32","647073","0.0-9.0-3.4","57624","","","","100"
"","2057.9999999608845","image-button-response","33","649131","0.0-9.0-4.4","57624","","img/Berkowitz26.png","1",""
"","10775.899999891408","image-button-response","34","659908","0.0-9.0-0.5","57624","","img/Berkowitz3.png","0",""
"","6096.499999985099","image-button-response","35","666006","0.0-9.0-1.5","57624","","img/Berkowitz3.png","3",""
"","4396.699999924749","image-slider-response","36","670404","0.0-9.0-2.5","57624","","","","0"
"","4613.099999958649","image-slider-response","37","675018","0.0-9.0-3.5","57624","","","","100"
"","2671.3999999919906","image-button-response","38","677690","0.0-9.0-4.5","57624","","img/Berkowitz3.png","0",""
"","34827.39999995101","image-button-response","39","712519","0.0-9.0-0.6","57624","","img/Berkowitz379.png","2",""
"","6454.000000027008","image-button-response","40","718975","0.0-9.0-1.6","57624","","img/Berkowitz379.png","6",""
"","23513.599999947473","image-slider-response","41","742489","0.0-9.0-2.6","57624","","","","55"
"","40218.29999994952","image-slider-response","42","782709","0.0-9.0-3.6","57624","","","","58"
"","1638.3000001078472","image-button-response","43","784349","0.0-9.0-4.6","57624","","img/Berkowitz379.png","1",""
"","35666.70000005979","image-button-response","44","820017","0.0-9.0-0.7","57624","","img/Berkowitz312.png","1",""
"","24277.299999957904","image-button-response","45","844296","0.0-9.0-1.7","57624","","img/Berkowitz312.png","5",""
"","14314.699999988079","image-slider-response","46","858611","0.0-9.0-2.7","57624","","","","37"
"","31639.30000003893","image-slider-response","47","890251","0.0-9.0-3.7","57624","","","","81"
"","2605.199999990873","image-button-response","48","892858","0.0-9.0-4.7","57624","","img/Berkowitz312.png","1",""
"","19892.799999914132","image-button-response","49","912752","0.0-9.0-0.8","57624","","img/Berkowitz627.png","3",""
"","9525.499999988824","image-button-response","50","922279","0.0-9.0-1.8","57624","","img/Berkowitz627.png","6",""
"","12633.600000059232","image-slider-response","51","934914","0.0-9.0-2.8","57624","","","","82"
"","6443.699999945238","image-slider-response","52","941360","0.0-9.0-3.8","57624","","","","16"
"","7423.000000067987","image-button-response","53","948784","0.0-9.0-4.8","57624","","img/Berkowitz627.png","1",""
"","33300.70000002161","image-button-response","54","982085","0.0-9.0-0.9","57624","","img/Berkowitz156.png","1",""
"","6994.899999932386","image-button-response","55","989081","0.0-9.0-1.9","57624","","img/Berkowitz156.png","5",""
"","11620.600000023842","image-slider-response","56","1000703","0.0-9.0-2.9","57624","","","","26"
"","27815.900000045076","image-slider-response","57","1028520","0.0-9.0-3.9","57624","","","","100"
"","2449.199999915436","image-button-response","58","1030970","0.0-9.0-4.9","57624","","img/Berkowitz156.png","1",""
"","9575.499999918975","image-button-response","59","1040547","0.0-9.0-0.10","57624","","img/Berkowitz74.png","0",""
"","12773.800000082701","image-button-response","60","1053322","0.0-9.0-1.10","57624","","img/Berkowitz74.png","3",""
"","4260.899999993853","image-slider-response","61","1057584","0.0-9.0-2.10","57624","","","","0"
"","4496.000000042841","image-slider-response","62","1062081","0.0-9.0-3.10","57624","","","","100"
"","4906.300000031479","image-button-response","63","1066989","0.0-9.0-4.10","57624","","img/Berkowitz74.png","1",""
"","24945.200000074692","image-button-response","64","1091935","0.0-9.0-0.11","57624","","img/Berkowitz70.png","1",""
"","9474.49999989476","image-button-response","65","1101410","0.0-9.0-1.11","57624","","img/Berkowitz70.png","5",""
"","12608.299999963492","image-slider-response","66","1114019","0.0-9.0-2.11","57624","","","","40"
"","45074.10000008531","image-slider-response","67","1159094","0.0-9.0-3.11","57624","","","","88"
"","2054.8999999882653","image-button-response","68","1161151","0.0-9.0-4.11","57624","","img/Berkowitz70.png","1",""
"","45013.09999998193","image-button-response","69","1206165","0.0-9.0-0.12","57624","","img/Berkowitz334t.png","1",""
