dataset.id	melody.id	note.id	melody.name	vertint12	articulation	comma	voice	ornament	dyn	phrase	bioi	deltast	accidental	mpitch	cpitch	barlength	pulses	tempo	mode	keysig	dur	onset	cpitch.order.ltm.cpint	cpitch.order.stm.cpint	cpitch.weight.ltm	cpitch.weight.stm	cpitch.weight.ltm.cpint	cpitch.weight.stm.cpint	cpitch.probability	cpitch.information.content	cpitch.entropy	cpitch.43	cpitch.44	cpitch.45	cpitch.46	cpitch.47	cpitch.48	cpitch.49	cpitch.50	cpitch.51	cpitch.52	cpitch.53	cpitch.54	cpitch.55	cpitch.56	cpitch.57	cpitch.58	cpitch.59	cpitch.60	cpitch.61	cpitch.62	cpitch.63	cpitch.64	cpitch.65	cpitch.66	cpitch.67	cpitch.68	cpitch.69	cpitch.70	cpitch.71	cpitch.72	cpitch.73	cpitch.74	cpitch.75	cpitch.76	cpitch.77	probability	information.content	entropy	
2	1	1	"Berkowitz1"	NA	NA	NA	1	NA	NA	1	0	0	0	35	60	96	4	NA	NA	0	48	0	0	0	0.5	0.5	1.0	1.0	0.028571427	5.129283	5.1292834	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	0.028571427	5.129283	5.1292834	
2	1	2	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	36	62	96	4	NA	NA	0	48	48	0	0	0.9588087	0.04119128	1.0	1.0	0.21145523	2.241576	3.3540566	7.6798134e-4	7.6798134e-4	7.6798134e-4	7.6798134e-4	7.6798134e-4	0.005977018	7.6798134e-4	0.0014927265	0.0029014165	0.002552742	0.013250914	0.0018488355	0.02162501	0.02859876	0.036123738	0.26068258	0.124663815	0.04913833	0.10417276	0.21145523	0.032057095	0.028283503	0.031115575	0.0014927265	0.014875652	0.0053010993	0.0042800396	0.002552742	0.0011328909	0.005977018	7.6798134e-4	7.6798134e-4	7.6798134e-4	7.6798134e-4	7.6798134e-4	0.21145523	2.241576	3.3540566	
2	1	3	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	37	64	96	4	NA	NA	0	96	96	1	0	0.9613578	0.03864224	1.0	1.0	0.31134063	1.6834342	2.7087991	7.89213e-5	7.89213e-5	7.89213e-5	7.89213e-5	7.89213e-5	7.89213e-5	7.89213e-5	0.0062377364	7.89213e-5	1.5367092e-4	0.0059510446	2.6317107e-4	0.025357855	0.0016704247	0.006401319	0.04082171	0.026233878	0.24170862	0.012985585	0.056571916	0.22457512	0.31134063	0.018061753	0.0029345504	0.01270737	1.5367092e-4	0.0015407867	5.475717e-4	4.41851e-4	0.0017374824	1.1654158e-4	6.1758695e-4	7.89213e-5	7.89213e-5	7.89213e-5	0.31134063	1.6834342	2.7087991	
2	1	4	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	96	0	0	36	62	96	4	NA	NA	0	48	192	2	1	0.9742098	0.025790235	1.0	1.0	0.27979064	1.8375804	2.5609634	3.739642e-5	3.739642e-5	3.739642e-5	3.739642e-5	3.739642e-5	3.739642e-5	3.739642e-5	3.739642e-5	3.739642e-5	0.008060841	3.739642e-5	7.3467665e-5	0.012763362	1.2672617e-4	0.017773114	8.244873e-4	0.0032168182	0.04918507	0.013434113	0.27979064	0.0065875766	0.06188736	0.33063942	0.18831953	0.014032811	0.0014593878	0.008885906	7.3467665e-5	7.5968064e-4	2.6627048e-4	2.1424583e-4	8.5803703e-4	5.551109e-5	3.0080066e-4	3.739642e-5	0.27979064	1.8375804	2.5609634	
2	1	5	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	37	64	96	4	NA	NA	0	48	240	3	0	0.9970061	0.0029938424	1.0	1.0	0.14966916	2.7401512	1.8770068	1.3265493e-5	1.3265493e-5	1.3265493e-5	1.3265493e-5	1.3265493e-5	1.3265493e-5	1.3265493e-5	1.1203655e-4	1.3265493e-5	2.6475991e-5	5.2842202e-5	4.6255413e-5	6.716728e-4	3.3072884e-5	0.0044683907	5.705678e-4	0.04662801	0.61882406	0.08965718	0.051061995	0.0021881633	0.14966916	0.002711142	0.0038256806	0.025361732	2.6475991e-5	0.0021070691	3.0705967e-4	7.0260494e-4	4.6242969e-4	1.9874102e-5	3.201604e-4	1.3265493e-5	1.3265493e-5	1.3265493e-5	0.14966916	2.7401512	1.8770068	
2	1	6	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	38	65	96	4	NA	NA	0	96	288	4	1	0.9867775	0.01322253	1.0	1.0	0.313452	1.6736835	2.3351583	2.8214716e-5	2.8214716e-5	2.8214716e-5	2.8214716e-5	2.8214716e-5	2.8214716e-5	2.8214716e-5	2.8214716e-5	2.8214716e-5	0.0025031646	2.8214716e-5	5.59146e-5	0.002385148	9.712916e-5	0.014592364	0.0016884159	0.0035977305	0.028217	0.023984902	0.20709546	0.005313055	0.028057462	0.313452	0.3457441	0.010492425	0.0011543707	0.008245893	5.59146e-5	5.95865e-4	2.0604697e-4	1.6532469e-4	0.0017147694	4.2095777e-5	2.3313376e-4	2.8214716e-5	0.313452	1.6736835	2.3351583	
2	1	7	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	96	0	0	39	67	96	4	NA	NA	0	48	384	5	0	0.99704105	0.002958938	0.99999994	1.0	0.538676	0.89251024	1.923753	3.135163e-5	3.135163e-5	3.135163e-5	3.135163e-5	3.135163e-5	3.135163e-5	3.135163e-5	3.135163e-5	3.135163e-5	3.135163e-5	0.012804633	3.135163e-5	6.257479e-5	1.2489317e-4	0.004825317	6.06007e-4	7.8166864e-5	0.013053066	0.0013486559	0.06408387	0.016773697	0.2923395	0.02513753	0.0052220807	0.538676	0.003286139	0.016402844	0.0014722873	6.257479e-5	0.0024533784	2.3373956e-4	1.8711513e-4	1.0932471e-4	4.697106e-5	2.6480673e-4	0.538676	0.89251024	1.923753	
2	1	8	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	38	65	96	4	NA	NA	0	48	432	6	1	0.97836447	0.021635575	1.0	1.0	0.25165126	1.9905022	2.5680742	1.788898e-5	1.788898e-5	1.788898e-5	1.788898e-5	1.788898e-5	1.788898e-5	1.788898e-5	1.788898e-5	1.788898e-5	1.788898e-5	1.788898e-5	1.788898e-5	0.010753311	1.788898e-5	3.9940995e-5	0.0017875689	7.2528266e-5	0.047562607	4.8824606e-4	0.010815458	0.012721364	0.09862484	0.25165126	0.0040745344	0.06516676	0.09232004	0.3836586	0.0119414	8.934285e-4	0.005900873	3.9940995e-5	4.6160957e-4	1.5807642e-4	1.2615894e-4	5.08941e-4	0.25165126	1.9905022	2.5680742	
2	1	9	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	37	64	96	4	NA	NA	0	48	480	5	1	0.9998375	1.6247132e-4	1.0	1.0	0.8105183	0.30308327	1.0505841	4.8861207e-6	4.8861207e-6	4.8861207e-6	4.8861207e-6	4.8861207e-6	4.8861207e-6	4.8861207e-6	4.8861207e-6	4.8861207e-6	4.8861207e-6	4.151758e-5	4.8861207e-6	9.771139e-6	1.9540079e-5	1.709794e-5	2.504977e-4	1.2213482e-5	0.009370733	2.1241595e-4	0.0026078292	0.049995314	0.8105183	0.004288058	8.2048157e-4	0.10758172	0.0010154321	0.009128879	0.0020600816	9.771139e-6	7.887823e-4	1.14276656e-4	2.6221486e-4	1.7238018e-4	7.3286974e-6	1.19159464e-4	0.8105183	0.30308327	1.0505841	
2	1	10	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	36	62	96	4	NA	NA	0	48	528	7	0	0.9943897	0.005610184	1.0	1.0	0.43261862	1.2088324	2.1580665	1.9996052e-5	1.9996052e-5	1.9996052e-5	1.9996052e-5	1.9996052e-5	1.9996052e-5	1.9996052e-5	1.9996052e-5	1.9996052e-5	1.6793801e-4	1.9996052e-5	3.9836894e-5	7.936456e-5	7.639813e-4	0.0025894362	0.069873996	6.373026e-4	0.26284254	0.0010850542	0.43261862	0.0039747185	0.026146354	0.17199153	0.008416221	0.0076744324	8.41877e-4	0.007509066	3.9836894e-5	4.3235032e-4	0.0016694618	1.1877635e-4	6.9496025e-5	2.9925928e-5	1.6793801e-4	1.9996052e-5	0.43261862	1.2088324	2.1580665	
