dataset.id	melody.id	note.id	melody.name	vertint12	articulation	comma	voice	ornament	dyn	phrase	bioi	deltast	accidental	mpitch	cpitch	barlength	pulses	tempo	mode	keysig	dur	onset	cpitch.order.ltm.cpint	cpitch.order.stm.cpint	cpitch.weight.ltm	cpitch.weight.stm	cpitch.weight.ltm.cpint	cpitch.weight.stm.cpint	cpitch.probability	cpitch.information.content	cpitch.entropy	cpitch.46	cpitch.48	cpitch.50	cpitch.51	cpitch.53	cpitch.55	cpitch.57	cpitch.58	cpitch.60	cpitch.62	cpitch.64	cpitch.65	cpitch.66	cpitch.67	cpitch.69	cpitch.70	cpitch.71	cpitch.72	cpitch.74	cpitch.76	probability	information.content	entropy	
1	1	1	"Berkowitz1"	NA	NA	NA	1	NA	NA	1	0	0	0	35	60	96	4	NA	NA	0	48	0	0	0	0.5	0.5	1.0	1.0	0.049999993	4.321928	4.3219275	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	0.049999993	4.321928	4.3219275	
1	1	2	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	36	62	96	4	NA	NA	0	48	48	0	0	0.9397717	0.060228284	1.0	1.0	0.2621802	1.9313693	3.0425913	0.0019859083	0.008212763	0.0102030635	0.015657773	0.017955624	0.028464332	0.07523842	0.31579965	0.0904523	0.2621802	0.046661127	0.040536378	0.0078111826	0.017955624	0.020990688	0.008212763	0.019097352	0.008613089	0.0019859083	0.0019859083	0.2621802	1.9313693	3.0425913	
1	1	3	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	37	64	96	4	NA	NA	0	96	96	1	0	0.9074802	0.092519864	1.0	1.0	0.37888068	1.4001845	2.7290666	9.1634376e-4	9.1634376e-4	0.006180207	0.0077713844	0.013885183	0.028049532	0.015454807	0.05993955	0.28272372	0.07960581	0.37888068	0.038403917	0.02699243	0.024625594	0.0076814215	0.007048573	0.011317149	0.0049120532	0.0037788767	9.1634376e-4	0.37888068	1.4001845	2.7290666	
1	1	4	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	96	0	0	36	62	96	4	NA	NA	0	48	192	2	1	0.9151442	0.08485579	1.0	1.0	0.2542645	1.9755981	2.690108	5.42073e-4	5.42073e-4	5.42073e-4	6.5771973e-4	0.004810023	0.01413435	0.020659912	0.0035541002	0.05274244	0.2542645	0.06951282	0.2481613	0.2659983	0.027838776	0.016682208	0.005211841	0.0046263593	0.004242126	0.003014629	0.002262344	0.2542645	1.9755981	2.690108	
1	1	5	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	37	64	96	4	NA	NA	0	48	240	3	0	0.9966638	0.0033362051	1.0	1.0	0.20535327	2.2838202	1.6609757	0.0012829587	0.0012829587	0.0015837144	0.001884278	0.0015837144	0.0021846807	0.010182043	0.0030851199	0.6579649	0.05624068	0.20535327	0.0069788597	0.008132479	0.026499681	0.005439685	0.001884278	0.0030851199	0.0024849442	0.0015837144	0.0012829587	0.20535327	2.2838202	1.6609757	
1	1	6	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	38	65	96	4	NA	NA	0	96	288	4	1	0.94840676	0.051593304	1.0	1.0	0.24041183	2.05642	2.5075204	3.701445e-4	3.701445e-4	3.701445e-4	4.5227952e-4	0.0035556632	0.0066268416	0.019274745	0.004025951	0.044529103	0.27386066	0.044910926	0.24041183	0.308105	0.02277377	0.015823495	0.002746878	0.0034150593	0.0031215753	0.0036286563	0.0016271415	0.24041183	2.05642	2.5075204	
1	1	7	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	96	0	0	39	67	96	4	NA	NA	0	48	384	5	0	0.98720014	0.012799804	0.99999994	1.0	0.54586136	0.87339354	2.0253382	1.5721847e-4	1.5721847e-4	1.5721847e-4	1.5721847e-4	0.012490487	0.0021667974	0.0062366524	0.002052907	0.01324404	0.06501975	0.26124835	0.034926232	0.018737245	0.54586136	0.018810622	0.004896196	0.0024110707	0.0031020863	0.0039971345	0.004170204	0.54586136	0.87339354	2.0253382	
1	1	8	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	38	65	96	4	NA	NA	0	48	432	6	1	0.93362725	0.06637278	1.0	1.0	0.2943697	1.764299	2.5958788	3.0911606e-4	3.0911606e-4	3.0911606e-4	3.0911606e-4	3.0911606e-4	0.0026884396	0.0031803364	0.006014601	0.039586905	0.015086439	0.0880159	0.2943697	0.04026539	0.07610595	0.37060854	0.024392245	0.013957558	0.013974066	0.004354138	0.005854199	0.2943697	1.764299	2.5958788	
1	1	9	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	37	64	96	4	NA	NA	0	48	480	5	1	0.9872152	0.0127847595	1.0	0.99999994	0.6728678	0.5716051	1.7258344	2.2784613e-4	2.2784613e-4	2.2784613e-4	2.2784613e-4	0.0015126286	0.0016105731	0.0030529478	0.0037026647	0.014696647	0.02213643	0.6728678	0.028706979	0.026637543	0.17820038	0.017606856	0.013191779	0.0011986225	0.0050919405	0.004968939	0.0039059902	0.6728678	0.5716051	1.7258344	
1	1	10	"Berkowitz1"	NA	NA	NA	1	NA	NA	0	48	0	0	36	62	96	4	NA	NA	0	48	528	8	0	0.9728	0.027199998	1.0	1.0	0.5049938	0.9856624	2.3450255	3.5904784e-4	3.5904784e-4	3.5904784e-4	4.4098776e-4	0.0056101256	0.0051236246	0.006422281	0.03214965	0.093670614	0.5049938	0.04470961	0.19666752	0.061589755	0.019064618	0.014670509	0.0014818768	0.003507519	0.0050884066	0.002092445	0.0016396301	0.5049938	0.9856624	2.3450255	
